iter	Logloss
466	0.1927546442
467	0.1924733638
468	0.1923625769
469	0.1919611853
470	0.1914916969
471	0.1913284727
472	0.1912382237
473	0.1909161153
474	0.1906307987
475	0.1903867838
476	0.1902448533
477	0.1896715607
478	0.1893649725
479	0.1888867503
480	0.1888081493
481	0.1879373842
482	0.1879160312
483	0.1877109946
484	0.1876155061
485	0.1875259535
486	0.187047663
487	0.1870400996
488	0.1869787023
489	0.1864074805
490	0.1863480532
491	0.1859733545
492	0.1858331288
493	0.1855091605
494	0.1854343559
495	0.1854038519
496	0.1853876788
497	0.1849873093
498	0.1847661001
499	0.1841753702
