iter	Logloss
0	0.6644303485
1	0.6331461514
2	0.6073284629
3	0.5878591238
4	0.5651170265
5	0.5442462344
6	0.5302955935
7	0.5211223901
8	0.5143707839
9	0.5001890267
10	0.490945206
11	0.4808452073
12	0.4724760354
13	0.4646114915
14	0.4567561236
15	0.4497139974
16	0.4436978872
17	0.4373176432
18	0.4336637465
19	0.430014588
20	0.4241928399
21	0.4209975478
22	0.4168906525
23	0.4121960737
24	0.409949817
25	0.405597193
26	0.4005223111
27	0.3963424832
28	0.3939365432
29	0.3914603879
30	0.3905266485
31	0.3886596633
32	0.3862692006
33	0.3840008731
34	0.3831942461
35	0.3809904666
36	0.3796132606
37	0.3779012238
38	0.3762150021
39	0.3739627608
40	0.372817324
41	0.371125269
42	0.3700524087
43	0.3693408935
44	0.3681706349
45	0.3668558646
46	0.3656856783
47	0.3648809789
48	0.3647125732
49	0.3635957649
50	0.3625988661
51	0.361343412
52	0.3607933705
53	0.3600934511
54	0.3593940268
55	0.3593535787
56	0.3584144812
57	0.3580049315
58	0.3577347355
59	0.3561418653
60	0.354755969
61	0.3542699991
62	0.3534601741
63	0.3528205062
64	0.3514275094
65	0.3505045668
66	0.3503682477
67	0.3497390637
68	0.3487832899
69	0.3476688042
70	0.3467749942
71	0.3459612133
72	0.3459060849
73	0.3454482677
74	0.3454473014
75	0.3451077657
76	0.3437129316
77	0.3434693114
78	0.3431750609
79	0.3427512984
80	0.3420761699
81	0.3413847019
82	0.3412764734
83	0.3408028783
84	0.3401686685
85	0.3401686653
86	0.3399386791
87	0.3396321675
88	0.3390477588
89	0.3382772391
90	0.3377149614
91	0.337118502
92	0.3369174842
93	0.3369174662
94	0.3366812528
95	0.3365354575
96	0.3358047342
97	0.3348474391
98	0.3341209384
99	0.33348699
100	0.3332359943
101	0.3332359912
102	0.3330114916
103	0.3314565125
104	0.3312447886
105	0.3307552313
106	0.3299705891
107	0.3297450335
108	0.3290506282
109	0.3285301199
110	0.3277026694
111	0.3272247458
112	0.3268813634
113	0.3268350467
114	0.3255242839
115	0.325188152
116	0.3251350338
117	0.324642092
118	0.3241235167
119	0.3240238537
120	0.3233192342
121	0.3231417807
122	0.3226493324
123	0.3226132888
124	0.3226113116
125	0.3223572958
126	0.321843467
127	0.3203000221
128	0.3202534262
129	0.3197180947
130	0.3192797802
131	0.3189397146
132	0.3187974193
133	0.3181141481
134	0.3181106521
135	0.3178192346
136	0.3172133327
137	0.3170853324
138	0.3168625733
139	0.3168315701
140	0.3166849575
141	0.3164748462
142	0.3164725006
143	0.3160154619
144	0.3148895586
145	0.3138934068
146	0.3135029905
147	0.3122449004
148	0.3122303953
149	0.3114941208
150	0.3107587415
151	0.3103926676
152	0.3092800398
153	0.3089408891
154	0.3089297447
155	0.3072645114
156	0.3072644988
157	0.3072401005
158	0.3068654897
159	0.3063757051
160	0.3047463927
161	0.304283344
162	0.3042192625
163	0.3041363577
164	0.3039461081
165	0.303648395
166	0.3030377399
167	0.3025413105
168	0.3018626807
169	0.3006976184
170	0.2998693608
171	0.2990340376
172	0.2987321227
173	0.2986074691
174	0.2979012434
175	0.2975520589
176	0.2973084032
177	0.2970963064
178	0.2966507031
179	0.2965995403
180	0.2963379735
181	0.2954843177
182	0.2947777217
183	0.2929971994
184	0.292705675
185	0.2920734594
186	0.2919037597
187	0.2913515278
188	0.2909989033
189	0.2900700238
190	0.2891466788
191	0.2887844923
192	0.2877237077
193	0.2876829196
194	0.2859242135
195	0.2846237726
196	0.2842682849
197	0.2839581629
198	0.2830117296
199	0.2826343095
200	0.28253892
201	0.2820924736
202	0.2814040356
203	0.2813889283
204	0.2811652152
205	0.2811107837
206	0.2803462265
207	0.2797109026
208	0.2788545536
209	0.2782321644
210	0.2778363869
211	0.2775400762
212	0.2770883673
213	0.2766426565
214	0.2764065778
215	0.2763243824
216	0.2762445316
217	0.2754776555
218	0.2752023177
219	0.2750795801
220	0.2739981665
221	0.2733843389
222	0.2725077211
223	0.2724598972
224	0.2718388063
225	0.271813832
226	0.2702088065
227	0.2695382609
228	0.2693528587
229	0.2693116506
230	0.2685687943
231	0.2683735782
232	0.2677566655
233	0.2677192953
234	0.2676492477
235	0.2675823818
236	0.2675189345
237	0.267475631
238	0.2666625428
239	0.2666195116
240	0.2655011533
241	0.2653776372
242	0.2650042063
243	0.2645573027
244	0.2640032072
245	0.263769348
246	0.2633934754
247	0.2630043286
248	0.2626662804
249	0.2619364017
250	0.26122094
251	0.2610170779
252	0.2609934263
253	0.260900388
254	0.2604758074
255	0.2600019887
256	0.2597467735
257	0.2591418181
258	0.2587451247
259	0.2583334911
260	0.2583060799
261	0.257952261
262	0.2576285615
263	0.2576058798
264	0.2575002009
265	0.2574749693
266	0.257299587
267	0.2566698223
268	0.2566267273
269	0.2562172952
270	0.2554204752
271	0.2554065762
272	0.2551076506
273	0.2545848095
274	0.2535424223
275	0.2523883842
276	0.2522474689
277	0.2508717317
278	0.2508143536
279	0.2500084003
280	0.2497048202
281	0.2496590776
282	0.2490946684
283	0.2488544465
284	0.2487435959
285	0.2481738406
286	0.2479750548
287	0.2464461166
288	0.2464234276
289	0.2462759396
290	0.2459203039
291	0.2456698292
292	0.2448632452
293	0.2443765637
294	0.2438399063
295	0.2438140729
296	0.2428901766
297	0.2428683955
298	0.2424200833
299	0.2418747087
300	0.2411327829
301	0.2410948219
302	0.2400196126
303	0.2399913945
304	0.2396805237
305	0.2396575406
306	0.2393671822
307	0.2390822212
308	0.2389299616
309	0.2384843464
310	0.2382784973
311	0.237942454
312	0.2371273467
313	0.2369813028
314	0.2363312278
315	0.2358044413
316	0.2354154258
317	0.2347793529
318	0.2344746351
319	0.2343425185
320	0.2339171558
321	0.2339048875
322	0.2336903104
323	0.233669276
324	0.2334133015
325	0.2325115171
326	0.2321145661
327	0.2320952648
328	0.2314960535
329	0.2309130076
330	0.2308985826
331	0.2300106797
332	0.229586007
333	0.2295131317
334	0.2293560183
335	0.2289162357
336	0.2288888409
337	0.2288418855
338	0.2287926109
339	0.2284837736
340	0.228058445
341	0.2276249964
342	0.2272658521
343	0.226940522
344	0.2266987984
345	0.2266617738
346	0.2265348862
347	0.2261952238
348	0.225815317
349	0.2256969966
350	0.2256838893
351	0.2248490449
352	0.2248276348
353	0.2248087755
354	0.2245155656
355	0.2244951329
356	0.2241800771
357	0.2240518868
358	0.2240175628
359	0.2239637811
360	0.2231921997
361	0.2231642264
362	0.2229966151
363	0.2227105705
364	0.2222758465
365	0.2221220932
366	0.2219496197
367	0.2219394409
368	0.2218490392
369	0.2216270048
370	0.2212972847
371	0.2211010998
372	0.2207229812
373	0.2204182337
374	0.2203652867
375	0.2202706645
376	0.2197886837
377	0.2194162432
378	0.219129875
379	0.2190072036
380	0.2185895455
381	0.2182856658
382	0.2175887
383	0.2175800105
384	0.2169992371
385	0.2169849406
386	0.2167174491
387	0.2164958073
388	0.2161823127
389	0.2159933798
390	0.2158657263
391	0.2152044463
392	0.2140859755
393	0.2139450815
394	0.2138156045
395	0.2134822138
396	0.2129962937
397	0.2125840831
398	0.2121504152
399	0.2119299519
400	0.2114218877
401	0.2112650333
402	0.2111205961
403	0.2109950679
404	0.2105406653
405	0.2104048672
406	0.2103897736
407	0.2103094024
408	0.2102734044
409	0.2102426168
410	0.2099575868
411	0.2097522214
412	0.2095703362
413	0.209189507
414	0.2090663997
415	0.2087309294
416	0.208071161
417	0.2074993861
418	0.2074863365
419	0.2071467158
420	0.2070366628
421	0.2067168971
422	0.2065565533
423	0.2065511889
424	0.2059383874
425	0.2057218629
426	0.2057008424
427	0.2054360853
428	0.2050254968
429	0.2050182017
430	0.204917384
431	0.204496758
432	0.2041989874
433	0.2036463913
434	0.2030474377
435	0.2024851496
436	0.2018227741
437	0.2017926599
438	0.2012025588
439	0.2009413307
440	0.2001758297
441	0.1995981107
442	0.1993099407
443	0.1990662336
444	0.198934996
445	0.1987569514
446	0.1979034434
447	0.1975870848
448	0.1972662689
449	0.1970033056
450	0.1961863672
451	0.1959306025
452	0.1958509341
453	0.1957025736
454	0.1955103628
455	0.1954895257
456	0.1953981474
457	0.195126534
458	0.1946302397
459	0.1944335882
460	0.1943007181
461	0.1941785625
462	0.1939366257
463	0.1938283849
464	0.1932139085
465	0.1929712603
